place_id,name,formatted_address,lat,lng,types,rating,price_level
ChIJTZ98odkPdkgRDGbnRTSQUuI,Westfield London,"Ariel Way, London W12 7GF, United Kingdom",51.50757249999999,-0.2212054,shopping_mall,4.5,0
ChIJuWDvP1ADdkgRe4fUHnayz28,Hay's Galleria,"1 Battle Bridge Ln, London SE1 2HD, United Kingdom",51.505661,-0.0834008,shopping_mall,4.4,0
ChIJde_pcbUPdkgR03cdxomnGsU,Kings Mall,"King St, London W6 9HW, United Kingdom",51.4931259,-0.2278434,shopping_mall,3.7,0
ChIJuXbHt8QPdkgRvYiaN4tKDYo,W12 Shopping,"Shepherd's Bush Grn, London W12 8PP, United Kingdom",51.5034967,-0.2191805,shopping_mall,4,0
ChIJYyCDk6oEdkgR9Ni5bq_oClo,One New Change,"New Change, London EC4M 9AF, United Kingdom",51.513924,-0.0954749,shopping_mall,4.2,0
ChIJqbawlbcPdkgR_UYjW-whJXI,Broadway Shopping Centre,"Management Suite, Hammersmith Broadway, A219, London W6 9YE, United Kingdom",51.4922834,-0.2242501,shopping_mall,4,0
ChIJwyEbYgcDdkgRIKP0bOFRTe0,Centre Court Shopping Centre,"4 Queen's Rd, London SW19 8YE, United Kingdom",51.4213066,-0.2046128,shopping_mall,4,0
ChIJI7h_SjcbdkgRJcCnnXzZM2Q,The Brunswick Centre,"Bernard St, London WC1N 1BS, United Kingdom",51.5247596,-0.1240282,shopping_mall,4.2,0
ChIJN1gpCPUNdkgRuwt2romuwhE,Ealing Broadway,"The Broadway, London W5 5JY, United Kingdom",51.512981,-0.303368,shopping_mall,4.2,0
ChIJQfF2b2QddkgRhvL1CKoDiuo,Westfield Stratford City,"Montfichet Rd, London E20 1EJ, United Kingdom",51.5440354,-0.0053088,shopping_mall,4.4,0
ChIJzzO0jomn2EcRBZa63voKRGU,Stratford Shopping Centre,"54A Broadway, London E15 1NG, United Kingdom",51.5414143,0.0002797,shopping_mall,4.2,0
ChIJg7PD-t8CdkgRi1HP7ZBUq9U,Surrey Quays,"Redriff Rd, London SE16 7LL, United Kingdom",51.4952438,-0.0468103,shopping_mall,3.9,0
ChIJARwD3ywFdkgRohfrHMp-WgM,West One,"75 Davies St, London W1K 5JN, United Kingdom",51.5139278,-0.1492707,shopping_mall,4.1,0
ChIJi2yscOMbdkgR_i4jEZqu4X4,The Mall Wood Green,"159 High Rd, London N22 6YQ, United Kingdom",51.5944185,-0.1091896,shopping_mall,4,0
ChIJF2QmobACdkgRj7cJMpsZFog,Canary Wharf Shopping Centre,"1 Canada Square, London E14 5AB, United Kingdom",51.5048503,-0.0206132,shopping_mall,4.3,0
ChIJM59YZYMadkgRQDsgsm1TKKA,O2 Centre,"255 Finchley Rd, London NW3 6LU, United Kingdom",51.5478286,-0.1814281,shopping_mall,4.1,0
ChIJjyvv_9UEdkgRUrbU725BBf4,Burlington Arcade,"51 Piccadilly, London W1J 0QJ, United Kingdom",51.5083408,-0.1395758,shopping_mall,4.5,0
ChIJ249Kz2YPdkgRXzQtvypeePc,Southside Wandsworth,"Wandsworth High St, London SW18 4TF, United Kingdom",51.4551077,-0.1939966,shopping_mall,4.2,0
ChIJZ1E0FfIedkgR5MU9guV8fUQ,Edmonton Green,"62 Smythe Cl., London N9 0TZ, United Kingdom",51.6247756,-0.0573816,shopping_mall,3.9,0
ChIJmQE9-ykFdkgR8SEgp1ffZiA,Royal Arcade,"28 Old Bond St, London W1S 4DR, United Kingdom",51.5091646,-0.1411915,shopping_mall,4.5,0
ChIJI2rRZT-o2EcRQAlP_HyYdck,Brocklebank Retail Park,"1, 5 Brocklebank Rd, London SE7 7SX, United Kingdom",51.4901472,0.0229463,shopping_mall,4.3,0
ChIJQR9pg8sEdkgRKeWNNYlDdPU,Covent Garden,"14 James St, London WC2E 8BU, United Kingdom",51.5119958,-0.1228517,shopping_mall,4.6,0
ChIJkeqi4m8CdkgRMxS8gTn4R4I,Lewisham Shopping Centre,"Molesworth St, London SE13 7HB, United Kingdom",51.46175909999999,-0.0119106,shopping_mall,3.9,0
ChIJLVbVPM0EdkgRGUvoNqAiQ30,Seven Dials,"45 Seven Dials, London WC2H 9HD, United Kingdom",51.5139038,-0.1270696,shopping_mall,4.4,0
ChIJ-_qszRUFdkgRg1yMDxTSBy8,Duke of York Square,"80 Duke of York Square, London SW3 4LY, United Kingdom",51.4915056,-0.1592057,shopping_mall,4.4,0
